"7daystodie";"7 Days To Die";"251570"
"pillarsofeternity2";"Pillars of Eternity 2: Deadfire";"560130"
"portal2";"Portal 2";"620"
"prisonarchitect";"Prison Architect";"233450"
"projectwingman";"Project Wingman";"895870"
"reddeadredemption2";"Red Dead Redemption 2";"1174180"
"readyornot";"Ready Or Not";"1144200"
"residentevil22019";"Resident Evil 2 (2019)";"883710"
"residentevil32020";"Resident Evil 3 (2020)";"952060"
"residentevilvillage";"Resident Evil Village";"1196590"
"rimworld";"Rimworld";"294100"
"sekiro";"Sekiro: Shadows Die Twice";"814380"
"shadowrunreturns";"Shadowrun Returns";"234650"
"shewillpunishthem";"She Will Punish Them";"1213740"
"siegesurvivalgloriavictis";"Siege Survival: Gloria Victis";"21122"
"skyrim";"Skyrim";"72850"
"skyrimse";"Skyrim Special Edition";"489830"
"skyrimvr";"Skyrim VR";"611670"
"slimerancher";"Slime Rancher";"433340"
"soulcaliburvi";"Soul Calibur VI";"544750"
"spongebobsquarepantsbattleforbikinibottomrehydrated";"SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated"
"spyroreignitedtrilogy";"Spyro Reignited Trilogy";"996580"
"stalkercallofchernobyl";"S.T.A.L.K.E.R.: Call of Chernobyl";"41700"
"stalkercallofpripyat";"S.T.A.L.K.E.R.: Call of Pripyat";"41700"
"stalkerclearsky";"S.T.A.L.K.E.R. - Clear Sky";"20510"
"stalkershadowofchernobyl";"S.T.A.L.K.E.R.: Shadow of Chernobyl";"4500"
"starbound";"Starbound";"211820"
"stardewvalley";"Stardew Valley";"413150"
"starsector";"Starsector";"31337"
"startradersfrontiers";"Star Traders: Frontiers";"335620"
"starwarsbattlefront22017";"Star Wars: Battlefront II (2017)";"1237950"
"starwarsjedifallenorder";"Star Wars Jedi: Fallen Order";"1172380"
"stateofdecay";"State of Decay";"329430"
"stateofdecay2";"State of Decay 2";"495420"
"streetsofrogue";"Streets of Rogue";"512900"
"subnautica";"Subnautica";"264710"
"subnauticabelowzero";"Subnautica: Below Zero";"848450"
"survivingmars";"Surviving Mars";"464920"
"thedarkpicturesanthologyhouseofashes;"The Dark Pictures Anthology: House of Ashes";"1281590"
"thedarkpicturesanthologymanofmedan";"The Dark Pictures Anthology: Man of Medan";"939850"
"thedarkpicturesanthologylittlehope";"The Dark Pictures Anthology: Little Hope";"1194630"
"teamfortress2";"Team Fortress 2";"440"
"thesims3";"The Sims 3";"47890"
"thesims4";"The Sims 4";"1222670"
"torchlight2";"Torchlight II";"200710"
"totalwarsagatroy";"A Total War Saga: TROY";"1099410"
"totalwarthreekingdoms";"Total War: Three Kingdoms";"779340"
"trialsofmana";"Trials of Mana";"924980"
"undermine";"UnderMine";"656350"
"untitledgoosegame";"Untitled Goose Game";"837470"
"valheim";"Valheim";"892970"
"vtmbloodlines";"Vampire: The Masquerade - Bloodlines";"2600"
"vrising";"V Rising";"1604030"
"warhammer40000gladiusrelicsofwar";"Warhammer 40,000: Gladius - Relics of War";"489630"
"warthunder";"War Thunder";"236390"
"witcher";"The Witcher";"20900"
"witcher2";"The Witcher 2";"20920"
"witcher3";"The Witcher 3";"292030"
"witcher3";"The Witcher 3";"499450"
"wildermyth";"Wildermyth";"763890"
"wolcenlordsofmayhem";"Wolcen: Lords of Mayhem";"424370"
"worldoftanks";"World of Tanks";"1407200"
"x4foundations";"X4: Foundations";"392160"
"xcom2";"XCOM 2";"268500"
"xrebirth";"X: Rebirth";"2870"
"yakuzakiwami";"Yakuza Kiwami";"834530"
"yakuzakiwami2";"Yakuza Kiwami 2";"927380"
"yakuza0";"Yakuza 0";"638970"
"yakuzalikeadragon";"Yakuza: Like a Dragon";"1235140"
"yakuza3remastered";"Yakuza 3 Remastered";"1088710"
"yakuza4remastered";"Yakuza 4 Remastered";"1105500"
"yakuza5remastered";"Yakuza 5 Remastered";"1105510"
